ZIPCODE,DENSITY,Latitude,Longitude
90001,5.014657410655533,33.9697897,-118.2468148
90002,3.6012232050429747,33.9511133,-118.2497386
90003,4.481879080981109,33.9657994,-118.2731269
90004,7.622438425694254,34.0748887,-118.3082034
90005,10.503820166995201,34.0578814,-118.3096648
90006,8.504777122681464,34.0470832,-118.2965121
90007,10.88531253884883,34.0295114,-118.2848199
90008,4.517442223429839,34.0083231,-118.3491169
90010,89.53282578740358,34.0625448,-118.3089341
90011,6.2397746575092095,34.007889,-118.2585096
90012,10.393950522153304,34.0653347,-118.243891
90014,43.79172166732226,34.0434783,-118.2519314
90015,17.42421873993114,34.0390107,-118.2672801
90016,5.229169612200588,34.0255188,-118.3520389
90017,30.78405395923197,34.0543797,-118.2672801
90018,5.999971581654028,34.0309972,-118.319894
90019,6.745401901975998,34.0489277,-118.3403506
90020,11.788902362120037,34.0655627,-118.3096648
90021,11.107534179146802,34.0309258,-118.2380432
90022,5.510203700048544,34.0238187,-118.153228
90023,6.888134818494459,34.0224471,-118.2000277
90024,9.108362752947444,34.0631451,-118.4367551
90025,11.603473933771314,34.0448583,-118.4484367
90026,5.450660485970304,34.0796167,-118.2585096
90027,3.2286101838688803,34.1220545,-118.2935891
90028,13.614652981454151,34.1012181,-118.325739
90029,8.426000207512631,34.0880507,-118.2965121
90031,4.199531581936449,34.081032,-118.2117257
90032,3.806000258082182,34.0795169,-118.1766294
90033,5.592367667650281,34.0502898,-118.2117257
90034,7.801175196991844,34.0324632,-118.395863
90035,8.297694988697833,34.050751,-118.3841777
90036,11.712371713722048,34.0664817,-118.3520389
90037,7.262755664969919,34.002058,-118.2818967
90038,10.052082705976828,34.0895186,-118.3315838
90039,4.631787699010659,34.1103407,-118.2585096
90040,9.246948823224418,33.9930471,-118.153228
90041,3.928881712579316,34.13224690000001,-118.2117257
90042,4.4723490955820475,34.1175895,-118.188329
90043,5.123392936295733,33.9903827,-118.3286614
90044,4.673292231507829,33.9478802,-118.2935891
90045,5.421641596193171,33.9516114,-118.3875775
90046,5.225641937319327,34.1147313,-118.3637264
90047,4.073056160696548,33.9519253,-118.3082034
90048,13.577496802064278,34.0741548,-118.3724915
90049,2.4087739715140724,34.0963058,-118.4980744
90056,4.757974901730768,33.9885683,-118.3666482
90057,13.427402532105248,34.06170609999999,-118.2789735
90058,11.677089848024014,34.00637469999999,-118.2234229
90059,3.245072792198158,33.9287591,-118.2468148
90061,4.530021028057778,33.9196443,-118.2731269
90062,5.471197857967234,34.0031792,-118.3082034
90063,4.407778595920437,34.0440239,-118.1854042
90064,6.2604482214808455,34.0386656,-118.4221519
90065,4.269424638614687,34.10885,-118.2234229
90066,5.778645123022559,34.0050173,-118.4338345
90067,41.717616913691764,34.0571327,-118.4148498
90068,3.1346633002737883,34.1235157,-118.3286614
90069,10.139556457767663,34.0931603,-118.3783347
90071,105.62373350378367,34.052996,-118.2548551
90077,1.7927735327995442,34.1014861,-118.4571974
90089,26.310005409543436,34.0220127,-118.2892046
90094,2.8248613624120877,33.97448060000001,-118.4177707
90095,41.161781599723625,34.070264,-118.4440562
90201,4.352832343431571,33.96672119999999,-118.1766294
90211,10.807702374489589,34.0661071,-118.3841777
90212,12.987072888705592,34.0617109,-118.4017053
90220,6.443747069692624,33.8803536,-118.2351192
90221,4.876809529017284,33.8890686,-118.2000277
90222,3.8218772006255057,33.9111458,-118.2351192
90230,4.27422245411587,33.9933257,-118.3987842
90232,6.962971657398063,34.0236878,-118.3900204
90240,4.030239091009095,33.9574105,-118.1210458
90241,5.081127017842791,33.9372725,-118.1298234
90242,4.656245543393564,33.9167378,-118.1298234
90245,6.8151994001651195,33.9150066,-118.4046264
90247,5.516422149948321,33.8863314,-118.2935891
