ZIPCODE,DENSITY,Latitude,Longitude
91008,0.7517124952525174,34.1624549,-117.9659037
91010,1.2647290739328638,34.1579788,-117.9424743
91011,0.5971708005770069,34.2133926,-118.1941785
91016,0.9403902369150406,34.1574588,-118.0068979
91020,3.142971332960693,34.2115828,-118.2321952
91023,0.011973017046228959,34.2276262,-118.0676991
91024,0.14164996375049632,34.1934312,-118.0478826
91030,4.39224643308683,34.1058277,-118.153228
91040,0.8634678156310358,34.2864053,-118.3111262
91042,0.23981429033063398,34.296676,-118.2292712
91046,0.0,34.211442,-118.240734
91101,0.173851653631952,34.1427587,-118.1386005
91103,0.0723876288751965,34.1672881,-118.153228
91104,0.8573396601716833,34.1657707,-118.1181199
91105,0.1896614391807455,34.1406082,-118.1678543
91106,0.13521089312531573,34.1456654,-118.1268976
91107,1.006171870140773,34.16423960000001,-118.0830047
91108,3.5261467041947876,34.1247921,-118.1181199
91125,0.0,34.1378866,-118.1247032
91201,1.3506210846622348,34.1629905,-118.2935891
91202,0.2099274042581922,34.1688371,-118.2702036
91203,0.7001602575560996,34.1531191,-118.2614332
91204,1.0736599178200226,34.1377656,-118.2614332
91205,0.3308933091756377,34.1337367,-118.2468148
91206,0.34129205696170806,34.1527251,-118.2117257
91207,0.13303438169857046,34.1893001,-118.2702036
91208,0.07979850719376755,34.1980641,-118.2351192
91210,2.2213024509667525,34.144801,-118.2563169
91214,0.9348702907191646,34.2389818,-118.2351192
91301,0.9066507709658649,34.1129907,-118.754782
91302,1.046554062465663,34.1307949,-118.6848112
91303,5.672358268931097,34.1989453,-118.597305
91304,3.1318437789308873,34.2249609,-118.6556478
91306,5.325379185158975,34.2048586,-118.5739621
91307,3.981437204228274,34.2124444,-118.6848112
91311,2.0985303274017295,34.2710376,-118.61481
91316,3.5933298321975244,34.1583323,-118.5155901
91324,5.593159804114353,34.2413938,-118.5506158
91325,4.586331009180906,34.2400436,-118.5155901
91326,2.33491272436755,34.2894584,-118.5622893
91330,1.12664706053409,34.2489458,-118.5258067
91331,3.629331175243271,34.2570374,-118.4279933
91335,4.856618127174212,34.2035088,-118.5389414
91340,4.464163671873602,34.2913046,-118.4338345
91342,0.6671675578445924,34.3023759,-118.3695699
91343,4.246603424483727,34.2386799,-118.4805569
91344,2.3060564555698084,34.2801972,-118.4980744
91345,2.717396620371072,34.264995,-118.4571974
91350,1.6563595097342492,34.4338228,-118.5155901
91351,1.5054820462103728,34.4384112,-118.4571974
91352,1.6641850560968814,34.23015670000001,-118.3520389
91354,2.084245058782149,34.4627169,-118.5622893
91355,3.150620736461079,34.4400287,-118.5914696
91356,3.322379327111205,34.1662848,-118.5447787
91361,1.5394998775238697,34.1384626,-118.8946309
91362,4.156141443249215,34.1971476,-118.824722
91364,3.461038738424031,34.1544724,-118.5914696
91367,5.181565621641572,34.1785255,-118.597305
91381,0.5547514206505569,34.3729805,-118.61481
91384,0.08326339376572062,34.5455162,-118.6964752
91387,0.7038723427918554,34.41305699999999,-118.4163103
91390,0.063115794854981,34.4964601,-118.3346172
91401,5.52517811559908,34.1789379,-118.4338345
91402,5.4963012789945065,34.2252697,-118.442596
91403,5.851746398681688,34.1423899,-118.4571974
91405,5.80875859259998,34.2037124,-118.4571974
91406,5.219596957589326,34.1985119,-118.4980744
91411,6.11667736389697,34.1799855,-118.4601175
91423,5.3589261702078534,34.1482691,-118.4338345
91436,3.2910522156348887,34.1540054,-118.4922355
91501,1.914049922017201,34.2039087,-118.2935891
91502,8.90883825257854,34.1772371,-118.3082034
91504,3.3078537123093468,34.2053511,-118.3286614
91505,4.906530577688859,34.1615135,-118.3403506
91506,4.80809150780396,34.1728461,-118.325739
91521,25.046323191937446,34.1568172,-118.3246431
91522,23.108568901127473,34.1483152,-118.3407158
91523,27.69534170964324,34.1548495,-118.3337755
91601,6.038256729945027,34.1658804,-118.3637264
91602,5.6208384060262215,34.1487141,-118.3608046
91604,4.685838280153685,34.1366259,-118.3987842
91605,4.920053000110839,34.208195,-118.3987842
91606,4.814199962945519,34.1873985,-118.3900204
91607,5.6757525918152245,34.167305,-118.3987842
91608,5.2676979540192,34.13610070000001,-118.3519973
91702,0.5003373730962722,34.2667473,-117.8545867
91706,2.8628058156529614,34.0812006,-117.9834738
91711,1.4904255072893422,34.1707374,-117.702148
91722,4.043114310737425,34.0948204,-117.9073244
91723,5.861749455888624,34.0870296,-117.8868171
91724,2.7300942128198047,34.0858034,-117.8604472
91731,4.846384794680199,34.0835771,-118.0361736
91732,3.83291117090271,34.0791053,-118.0127534
91733,3.700373674747746,34.0499095,-118.0478826
91740,2.9665109360422313,34.1194758,-117.848726
91741,0.7888127397982697,34.1568319,-117.8428651
91744,3.8531633962395238,34.0274622,-117.9307584
91745,3.178373088978095,33.9990858,-117.9834738
91746,4.916605549439005,34.0541034,-117.9893301
91750,0.3378064987421057,34.1945949,-117.77252
91754,4.49227933474022,34.0472318,-118.1415261
91755,3.7080749145265868,34.0427819,-118.1181199
91759,0.01219095773655777,34.2602336,-117.7138785
91767,4.297024361882628,34.0836851,-117.7432015
91768,3.296131388107485,34.0648167,-117.7783831
91770,3.898416140380696,34.06173649999999,-118.0830047
91773,1.7209679999117946,34.1009953,-117.8194197
91775,4.250700950991259,34.1232517,-118.0830047
91776,5.414827245131746,34.0895991,-118.0947106
91780,4.602354097012527,34.0982956,-118.0595907
91789,3.3931667753880403,34.0130769,-117.8428651
91790,4.2633771509951055,34.0656464,-117.9424743
91791,3.5187786379474653,34.0566376,-117.8956062
91792,3.407650870620969,34.0332214,-117.9073244
91801,5.524635129023504,34.0837958,-118.1181199
91803,4.958175902049949,34.0779881,-118.1415261
92397,0.0012852990679204097,34.3668408,-117.6552185
93243,0.0037701633658046027,34.7936796,-118.8363756
93510,0.08834722564253553,34.4600722,-118.2292712
93532,0.01884581262946538,34.676617,-118.4531942
93534,1.0755255465137754,34.6946278,-118.1473771
93535,0.1412988906495679,34.7311394,-117.8780275
93536,0.18018216985677674,34.7190908,-118.2526623
93543,0.09367410024805223,34.4965114,-117.9600466
93544,0.014678498018319466,34.494562,-117.7607932
93550,0.056563023406994324,34.3579404,-118.0654445
93551,0.14204482980476893,34.594158,-118.1824793
93552,0.05487288500711546,34.5811542,-118.0303189
93553,0.030399671825204023,34.3780816,-117.9014654
93563,0.0028366755720369203,34.4053384,-117.7490656
93591,0.03408341043451658,34.5925622,-117.8194197
90704,0.017261083662529004,33.36146310000001,-118.4396756
90802,1674.4020367696287,33.7415317,-118.1941785
90803,1002.8733145396734,33.7523035,-118.1298234
90803,871.6679712103788,33.7523035,-118.1298234
90803,1080.2141639514982,33.7523035,-118.1298234
91321,0.5871728951517282,34.3677169,-118.4747173
90013,22.789916303727214,34.0445905,-118.2405557
91709,1.0528347564449885,33.959453,-117.7256083
91748,3.793301897565863,33.9810337,-117.8897468
91765,1.8025376029757725,33.9945546,-117.8135579
91766,3.4189802576774464,34.0397162,-117.7549295
